timestamp,GK,team1_name2,team1_name3,score1,GK,S1,S2,score2
2025-08-23T21:20:46.049000+00:00,shan,toph,danny,5,wraith,eri,hawk,0
2025-08-23T21:57:17.372000+00:00,shan,toph,danny,5,popop,hawk,anon,4
2025-09-27T20:03:50.859000+00:00,shan,popop,wraith,5,jib,hawk,muahd,0
2025-09-27T20:07:56.985000+00:00,shan,popop,hawk,5,jib,wraith,muahd,0
2025-10-02T23:18:26.312000+00:00,kami,rxob,ash,3,danny,pike,aster,5
2025-10-02T23:23:02.316000+00:00,rxob,ash,toph,5,shan,danny,aster,4
2025-10-02T23:29:22.498000+00:00,kami,pike,toph,5,rxob,danny,aster,3
2025-10-02T23:32:43.437000+00:00,toph,ash,pike,5,rxob,akil,danny,2
2025-10-02T23:36:48.661000+00:00,kami,toph,ash,5,akil,danny,pike,2
2025-10-02T23:44:49.209000+00:00,kami,aster,toph,4,rxob,danny,pike,5
2025-10-02T23:51:22.085000+00:00,pike,ash,aster,5,danny,akil,rxob,4
2025-10-02T23:57:24.465000+00:00,pike,aster,ash,3,kami,herb,akil,5
2025-10-03T00:02:27.927000+00:00,pike,danny,ash,5,kami,ema,aster,4
2025-10-03T00:10:41.896000+00:00,pike,rxob,ash,2,kami,ema,aster,5
2025-10-03T00:13:59.865000+00:00,pike,rxob,popop,5,kami,ema,aster,2
2025-10-03T00:18:13.789000+00:00,pike,rxob,popop,5,kami,ella,ash,1
2025-10-03T00:23:02.512000+00:00,kami,pike,ema,5,rxob,aster,ella,3
2025-10-03T00:28:20.707000+00:00,kami,pike,aster,5,rxob,herb,ella,4
2025-10-03T00:33:20.078000+00:00,popop,rxob,aster,5,ash,ella,ema,2
2025-10-03T00:37:23.960000+00:00,rxob,aster,ella,5,kami,ash,popop,2
2025-10-03T00:41:46.045000+00:00,aster,ella,rxob,5,kami,pike,popop,3
2025-10-03T00:49:26.261000+00:00,rxob,ella,eri,5,kami,pike,ema,4
2025-10-03T00:53:34.435000+00:00,eri,ella,rxob,2,popop,pike,ema,5
2025-10-03T01:08:34.508000+00:00,kami,ella,eri,5,popop,herb,jinsye,4
2025-10-03T01:10:32.399000+00:00,kami,eri,pike,5,popop,herb,jinsye,0
2025-10-03T01:13:48.604000+00:00,kami,jinsye,pike,5,popop,herb,ella,3
2025-10-03T01:17:13.593000+00:00,rxob,jinsye,pike,5,popop,herb,ella,3
2025-10-03T01:21:06.907000+00:00,pike,eri,rxob,5,kami,ella,ema,3
2025-10-05T10:22:40.486000+00:00,stella,kami,gentle,5,bapsy,hawk,nae,2
2025-10-08T09:42:05.130000+00:00,kami,ella,ash,4,popop,nae,eri,5
2025-10-08T09:50:12.095000+00:00,kami,ella,ash,4,popop,nae,stella,5
2025-10-08T09:56:29.960000+00:00,kami,ella,ash,1,popop,gentle,stella,5
2025-10-08T10:05:36.431000+00:00,ella,eri,popop,3,stella,gentle,kami,5
2025-10-08T10:14:17.835000+00:00,gentle,shan,stella,5,eri,popop,ash,2
2025-10-08T10:18:13.123000+00:00,gentle,stella,popop,3,eri,ella,ash,5
2025-10-08T10:23:14.792000+00:00,kami,gentle,shan,5,ella,eri,stella,3
2025-10-08T10:28:57.466000+00:00,kami,gentle,shan,5,ella,popop,ash,3
2025-10-08T10:32:26.417000+00:00,kami,gentle,shan,3,ella,popop,eri,5
2025-10-08T10:48:21.383000+00:00,kami,popop,gentle,5,shan,ella,eri,4
2025-10-09T00:27:41.805000+00:00,kami,ash,stella,2,toph,danny,jinsye,5
2025-10-09T00:31:13.774000+00:00,kami,akil,stella,0,toph,danny,jinsye,5
2025-10-09T00:35:49.936000+00:00,kami,jinsye,stella,3,toph,danny,ash,5
2025-10-09T00:43:19.631000+00:00,akil,stella,jinsye,3,toph,danny,ash,5
2025-10-09T00:48:55.924000+00:00,kami,jinsye,akil,5,toph,danny,ash,4
2025-10-09T00:55:03.739000+00:00,kami,akil,stella,4,toph,danny,ash,5
2025-10-09T01:03:17.385000+00:00,kami,stella,akil,4,danny,ash,toph,5
2025-10-10T14:03:04.124000+00:00,kami,popop,bapsy,0,shan,gentle,ash,5
2025-10-10T14:11:32.074000+00:00,kami,herb,bapsy,4,shan,gentle,ash,5
2025-10-10T14:15:54.580000+00:00,kami,herb,ash,5,popop,gentle,ash,3
2025-10-17T21:29:35.571000+00:00,kami,wraith,ella,4,popop,pike,hawk,5
2025-10-17T21:34:57.957000+00:00,wraith,ella,jinsye,5,pike,hawk,ash,2
2025-10-17T21:39:32.687000+00:00,wraith,ella,jinsye,5,pike,kami,ash,3
2025-10-17T21:43:58.781000+00:00,ella,jinsye,popop,5,pike,kami,ash,2
2025-10-17T21:48:42.939000+00:00,kami,wraith,jinsye,5,pike,ella,hawk,3
2025-10-17T21:57:18.911000+00:00,kami,ash,aster,2,ella,pike,hawk,5
2025-10-17T22:07:45.602000+00:00,ella,ash,bapsy,3,pike,wraith,aster,5
2025-10-17T22:13:47.899000+00:00,shan,hawk,aster,2,rxob,popop,wraith,5
2025-10-17T22:19:21.013000+00:00,kami,ella,mai,2,pike,ash,wraith,5
2025-10-17T22:38:09.347000+00:00,rxob,ella,mai,5,pike,bapsy,ashe,3
2025-10-17T22:42:23.607000+00:00,kami,ella,bapsy,5,rxob,mai,wraith,2
2025-10-17T22:46:17.307000+00:00,kami,ella,bapsy,5,mai,wraith,pike,2
2025-10-17T22:54:11.699000+00:00,pike,ash,mai,3,bapsy,rxob,ella,5
2025-10-17T22:57:54.352000+00:00,pike,mai,aster,1,rxob,ash,bapsy,5
2025-10-17T23:03:27.800000+00:00,pike,kami,mai,3,bapsy,ash,aster,56
2025-10-17T23:05:38.827000+00:00,kami,mai,ella,1,bap,ash,aster,5
2025-10-17T23:11:48.731000+00:00,kami,ella,mai,5,aster,bapsy,ash,1
2025-10-18T22:05:53.577000+00:00,shan,gentle,ella,1,akil,eri,wraith,5
2025-10-19T04:09:34.407000+00:00,kami,popop,jinsye,3,ella,jib,stella,5
2025-10-19T04:12:27.120000+00:00,kami,nae,jinsye,2,ella,jib,stella,5
2025-10-19T04:15:50.836000+00:00,kami,popop,nae,5,ella,jib,stella,3
2025-10-19T04:21:17.202000+00:00,jib,ella,nae,2,popop,stella,jinsye,5
2025-10-19T04:26:07.292000+00:00,kami,ella,jinsye,1,popop,jib,stella,5
2025-10-19T04:29:15.254000+00:00,kami,ella,jinsye,3,popop,jib,nae,5
2025-10-19T04:38:11.682000+00:00,kami,stella,popop,4,jib,jinsye,nae,5
2025-10-19T04:44:09.970000+00:00,kami,stella,ella,3,jib,akil,jinsye,5
2025-10-21T03:15:51.535000+00:00,kami,kaif,stella,3,pike,ella,neptune,5
2025-10-25T18:26:09.233000+00:00,kami,popop,jinsye,5,gentle,ash,aster,1
2025-10-25T18:32:48.886000+00:00,gentle,aster,herb,0,pike,popop,ash,5
2025-10-25T18:38:38.143000+00:00,gentle,aster,herb,3,kami,pike,ash,5
2025-10-25T18:43:00.823000+00:00,gentle,aster,jinsye,5,pike,popop,ash,0
2025-10-25T18:46:04.282000+00:00,kami,gentle,ella,5,pike,popop,ash,3
2025-10-25T18:52:17.788000+00:00,gentle,jinsye,aster,5,kami,popop,pike,4
2025-10-25T18:55:58.304000+00:00,gentle,jinsye,aster,5,pike,popop,ash,0
2025-10-25T18:59:14.894000+00:00,gentle,aster,ella,5,pike,popop,ash,1
2025-10-25T19:03:42.009000+00:00,kami,gentle,ella,3,pike,popop,ash,5
2025-10-25T19:11:16.169000+00:00,kami,jinsye,ella,5,pike,popop,ash,3
