timestamp,GK,team1_name2,team1_name3,score1,GK.1,S1,S2,score2
2026-04-03T21:14:33.378000+00:00,jib,danny,baps,4,popo,wraith,ash,5
2026-04-03T21:14:34.873000+00:00,jib,danny,baps,3,popo,wraith,ash,5
2026-04-04T13:03:16.023000+00:00,kami,baps,nae,3,popop,gentle,neptune,5
2026-04-04T13:07:53.877000+00:00,kami,baps,nae,5,popop,gentle,neptune,1
2026-04-04T13:20:56.145000+00:00,baps,wraith,nae,5,popop,gentle,neptune,2
2026-04-04T13:20:57.554000+00:00,baps,wraith,nae,4,popop,gentle,neptune,5
2026-04-04T19:46:11.835000+00:00,jib,ash,nae,5,popop,ella,akil,3
2026-04-04T19:46:14.398000+00:00,jib,ash,nae,5,popop,ella,akil,2
2026-04-09T18:25:29.803000+00:00,goon,nae,gentle,1,baps,pike,popop,5
2026-04-09T18:25:40.361000+00:00,popop,goon,gentle,5,baps,pike,nae,4
2026-04-09T18:35:25.667000+00:00,popop,goon,gentle,5,kami,pike,nae,0
2026-04-09T18:35:26.858000+00:00,popop,goon,gentle,5,kami,pike,nae,4
2026-04-10T01:35:42.687000+00:00,kaif,wraith,danny,5,kami,jib,akil,4
2026-04-10T01:39:43.131000+00:00,kaif,wraith,danny,5,kami,jib,akil,1
2026-04-10T03:55:04.914000+00:00,jib,danny,akil,5,shan,kami,stella,4
2026-04-10T04:03:47.498000+00:00,jib,akil,danny,5,shan,stella,kaiferno,3
2026-04-10T04:07:08.550000+00:00,jib,akil,danny,5,shan,stella,kaiferno,1
2026-04-10T04:11:21.117000+00:00,jib,akil,danny,5,shan,kaif,kami,4
2026-04-10T04:18:46.104000+00:00,jib,akil,danny,2,shan,kaif,kami,5
2026-04-10T04:28:02.124000+00:00,jib,akil,danny,5,shan,kaif,kami,3
