timestamp,GK,team1_name2,team1_name3,score1,GK.1,S1,S2,score2
2026-08-04T13:28:08.455000+00:00,kami,gentle,mebo,5,shan,hawk,nae,1
2026-08-04T13:28:09.214000+00:00,kami,gentle,mebo,5,shan,hawk,nae,4
2026-08-04T13:40:01.469000+00:00,kami,gentle,mebo,0,shan,hawk,nae,5
2026-08-04T13:40:02.427000+00:00,kami,gentle,mebo,1,shan,hawk,nae,5
2026-08-04T13:53:33.983000+00:00,gentle,hawk,mebo,5,kami,shan,nae,4
2026-08-04T13:53:36.179000+00:00,gentle,hawk,mebo,3,kami,shan,nae,5
2026-08-04T14:26:38.975000+00:00,aster,hawk,nae,3,shan,kami,mebo,5
2026-08-04T14:26:39.461000+00:00,aster,hawk,nae,4,shan,kami,mebo,5
2026-08-04T14:36:38.465000+00:00,aster,kami,mebo,2,shan,hawk,nae,5
2026-08-04T14:36:38.897000+00:00,aster,kami,mebo,5,shan,hawk,nae,2
2026-08-10T20:47:54.776000+00:00,shan,kami,anon,1,aster,gentle,ash,5
2026-08-10T20:47:56.127000+00:00,shan,kami,anon,5,aster,gentle,ash,3
2026-08-10T21:01:17.366000+00:00,aster,kami,anon,4,shan,gentle,ash,5
2026-08-10T21:01:18.178000+00:00,aster,kami,anon,5,shan,gentle,ash,4
2026-08-10T21:09:24.905000+00:00,aster,kami,anon,5,shan,gentle,ash,3
2026-08-10T21:19:23.443000+00:00,aster,anon,ash,5,shan,hawk,kami,3
2026-08-10T21:19:27.250000+00:00,aster,anon,ash,4,shan,hawk,kami,5
2026-08-10T21:31:12.177000+00:00,aster,hawk,ash,5,shan,anon,akil,2
2026-08-10T21:31:13.784000+00:00,aster,hawk,ash,1,shan,anon,akil,5
2026-08-10T21:42:20.229000+00:00,baps,hawk,anon,5,shan,kami,ash,2
2026-08-10T21:42:20.519000+00:00,baps,hawk,anon,5,shan,kami,ash,2
2026-08-16T07:30:12.153000+00:00,popop,wraith,anon,1,shan,hawk,ash,5
2026-08-16T07:37:16.112000+00:00,popop,wraith,anon,2,shan,hawk,ash,5
2026-08-16T07:47:19.978000+00:00,popop,wraith,hawk,5,shan,anon,ash,3
2026-08-16T07:47:21.771000+00:00,popop,wraith,hawk,3,shan,anon,ash,5
2026-08-19T08:10:35.497000+00:00,kami,jinsye,hawk,5,shan,popop,stella,2
2026-08-19T08:16:36.978000+00:00,kami,jinsye,hawk,3,shan,popop,stella,5
2026-08-19T08:24:08.725000+00:00,kami,popop,hawk,5,shan,wraith,anon,0
2026-08-19T08:24:11.577000+00:00,kami,popop,hawk,4,shan,wraith,anon,5
2026-08-19T08:32:40.515000+00:00,kami,hawk,anon,5,shan,wraith,ash,0
2026-08-19T08:32:43.024000+00:00,kami,hawk,anon,3,shan,wraith,ash,5
2026-08-19T08:37:47.048000+00:00,kami,anon,stella,2,popop,wraith,ash,5
2026-08-19T08:42:30.832000+00:00,kami,anon,stella,3,popop,wraith,ash,5
2026-08-19T08:54:58.313000+00:00,popop,kami,hawk,2,shan,wraith,ash,5
2026-08-19T08:55:00.349000+00:00,popop,kami,hawk,1,shan,wraith,ash,5
2026-08-19T09:02:54.645000+00:00,popop,hawk,anon,3,kami,wraith,shan,5
2026-08-19T09:07:59.256000+00:00,popop,wraith,anon,5,shan,hawk,kami,3
2026-08-19T09:17:09.819000+00:00,popop,wraith,anon,5,shan,hawk,kami,4
2026-08-19T09:28:09.724000+00:00,popop,wraith,anon,2,shan,anon,kami,5
2026-08-19T09:37:58.061000+00:00,kami,wraith,ash,5,shan,hawk,anon,1
2026-08-19T09:38:00.945000+00:00,kami,wraith,ash,3,shan,hawk,anon,5
2026-08-19T09:47:58.371000+00:00,kami,gentle,anon,5,popop,wraith,ash,4
2026-08-19T09:48:00.381000+00:00,kami,gentle,anon,3,popop,wraith,ash,5
2026-08-19T10:04:40.906000+00:00,popop,gentle,anon,5,shan,wraith,hawk,3
2026-08-19T10:12:06.053000+00:00,popop,gentle,anon,5,shan,hawk,kami,1
2026-08-19T10:12:08.089000+00:00,popop,gentle,anon,5,shan,hawk,kami,1
2026-08-19T10:17:09.889000+00:00,shan,popop,kami,5,gentle,hawk,anon,2
2026-08-19T10:19:45.921000+00:00,shan,popop,kami,1,gentle,hawk,anon,5
2026-08-19T19:13:31.315000+00:00,aster,gentle,hawk,5,shan,popop,ash,1
2026-08-19T19:13:31.732000+00:00,aster,gentle,hawk,5,shan,popop,ash,2
2026-08-19T19:25:31.865000+00:00,aster,gentle,stella,5,shan,kami,ash,3
