timestamp,team1_name1,team1_name2,team1_name3,score1,team2_name1,team2_name2,team2_name3,score2
2026-01-02T04:35:52.412000+00:00,kami,danny,akil,5,kaiferno,hawk,stella,4
2026-01-02T04:41:09.237000+00:00,kami,anon,hawk,1,akil,toph,danny,5
2026-01-02T04:46:16.600000+00:00,kami,anon,hawk,5,akil,toph,stella,2
2026-01-02T04:46:16.600000+00:00,kami,anon,hawk,2,akil,toph,stella,5
2026-01-02T04:46:16.600000+00:00,kami,anon,hawk,0,akil,toph,stella,5
2026-01-02T04:59:56.141000+00:00,jib,anon,hawk,3,akil,toph,stella,5
2026-01-02T08:17:23.418000+00:00,shan,jinsye,stella,1,neptune,popop,toph,5
2026-01-02T08:19:37.181000+00:00,neptune,toph,nae,5,hawk,jinsye,stella,2
2026-01-02T08:19:37.181000+00:00,neptune,toph,nae,5,hawk,jinsye,stella,0
2026-01-02T08:19:37.181000+00:00,neptune,toph,nae,5,hawk,jinsye,stella,0
2026-01-02T08:27:04.592000+00:00,shan,jinsye,stella,0,neptune,toph,hawk,5
2026-01-02T08:38:23.988000+00:00,shan,toph,hawk,5,kami,popop,jinsye,3
2026-01-02T08:38:23.988000+00:00,shan,toph,hawk,5,kami,popop,jinsye,2
2026-01-02T08:50:44.993000+00:00,shan,popop,nae,2,kami,toph,stella,5
2026-01-02T08:50:44.993000+00:00,shan,popop,nae,5,kami,toph,stella,4
2026-01-02T09:02:27.124000+00:00,popop,jinsye,stella,5,kami,jinsye,stella,0
2026-01-02T09:02:27.124000+00:00,popop,jinsye,stella,5,kami,jinsye,stella,3
2026-01-02T09:23:06.465000+00:00,shan,popop,nae,5,kami,toph,hawk,4
2026-01-02T09:23:12.591000+00:00,shan,popop,nae,5,kami,jinsye,stella,3
2026-01-02T09:27:17.467000+00:00,wraith,hawk,nae,5,kami,jinsye,stella,1
2026-01-02T09:31:47.146000+00:00,popop,hawk,nae,5,wraith,jinsye,stella,1
2026-01-02T09:39:34.948000+00:00,shan,jinsye,stella,1,wraith,popop,nae,5
2026-01-02T09:39:34.948000+00:00,shan,jinsye,stella,2,wraith,popop,nae,5
2026-01-02T09:45:00.329000+00:00,shan,jinsye,stella,3,kami,wraith,nae,5
2026-01-02T09:51:55.895000+00:00,shan,jinsye,nae,2,kami,wraith,hawk,5
2026-01-02T09:51:55.895000+00:00,shan,jinsye,nae,0,kami,wraith,hawk,5
2026-01-03T00:43:31.476000+00:00,popop,toph,wraith,5,kami,eri,rxob,3
2026-01-03T00:43:31.476000+00:00,popop,toph,wraith,2,kami,eri,rxob,5
2026-01-03T00:55:04.117000+00:00,kami,rxob,toph,5,pikeman,popop,wraith,2
2026-01-03T01:00:42.579000+00:00,gentle,toph,anon,5,pikeman,rxob,wraith,2
2026-01-03T01:09:28.005000+00:00,gentle,rxob,anon,4,pikeman,toph,wraith,5
2026-01-03T01:17:56.901000+00:00,jib,anon,wraith,4,gentle,toph,rxob,5
2026-01-03T01:17:56.901000+00:00,jib,anon,wraith,5,gentle,toph,rxob,0
2026-01-03T01:25:17.260000+00:00,kami,pikeman,anon,3,gentle,rxob,toph,5
2026-01-03T01:25:17.260000+00:00,kami,pikeman,anon,5,gentle,rxob,toph,0
2026-01-03T01:25:17.260000+00:00,kami,pikeman,anon,5,gentle,rxob,toph,3
2026-01-04T21:35:35.840000+00:00,kami,ash,stella,0,aster,akil,mai,5
2026-01-04T21:35:35.840000+00:00,kami,ash,stella,0,aster,akil,mai,5
2026-01-04T21:45:16.521000+00:00,kami,anon,stella,3,aster,wraith,ash,5
2026-01-04T21:45:16.521000+00:00,kami,anon,stella,2,aster,wraith,ash,5
2026-01-04T21:55:30.010000+00:00,aster,wraith,anon,5,kami,popop,ash,1
2026-01-04T22:06:09.718000+00:00,kami,wraith,stella,3,aster,popop,anon,5
2026-01-04T22:06:09.718000+00:00,kami,wraith,stella,1,aster,popop,anon,5
2026-01-04T22:14:40.163000+00:00,kami,anon,ash,5,wraith,popop,stella,1
2026-01-04T22:14:40.163000+00:00,kami,anon,ash,5,wraith,popop,stella,4
2026-01-05T15:11:27.053000+00:00,shan,eri,ash,5,gentle,popop,nae,3
2026-01-05T15:11:27.053000+00:00,shan,eri,ash,4,gentle,popop,nae,5
2026-01-06T14:04:12.284000+00:00,kami,baps,neptune,4,shan,popop,nae,5
2026-01-06T14:04:12.284000+00:00,kami,baps,neptune,4,shan,popop,nae,5
2026-01-06T14:04:12.284000+00:00,kami,baps,neptune,5,shan,popop,nae,1
2026-01-07T19:52:19.892000+00:00,shan,popop,akil,1,baps,eri,katie,5
2026-01-07T19:52:19.892000+00:00,shan,popop,akil,3,baps,eri,katie,5
