timestamp,GK,team1_name2,team1_name3,score1,GK.1,S1,S2,score2
2026-07-15T23:13:33.352000+00:00,kami,kaiferno,anon,5,shan,pike,ash,2
2026-07-15T23:13:33.761000+00:00,kami,kaiferno,anon,5,shan,pike,ash,3
2026-07-15T23:26:59.304000+00:00,jib,anon,ash,5,shan,pike,neptune,4
2026-07-15T23:27:00.333000+00:00,jib,anon,ash,4,shan,pike,neptune,5
2026-07-15T23:36:21.243000+00:00,jib,anon,kami,5,shan,pike,neptune,2
2026-07-15T23:55:22.514000+00:00,jib,pike,anon,5,shan,kaiferno,kami,2
2026-07-15T23:55:23.655000+00:00,jib,pike,anon,5,shan,kaiferno,kami,0
2026-07-18T00:37:10.026000+00:00,gentle,anon,hawk,5,shan,ash,kami,4
2026-07-18T00:37:11.710000+00:00,gentle,anon,hawk,2,shan,ash,kami,5
2026-07-18T00:46:18.320000+00:00,gentle,anon,ash,5,kami,hawk,shan,3
2026-07-18T00:46:19.397000+00:00,gentle,anon,ash,5,kami,hawk,shan,4
2026-07-18T00:53:34.828000+00:00,shan,anon,hawk,0,kami,gentle,ash,5
2026-07-18T00:53:35.336000+00:00,shan,anon,hawk,5,kami,gentle,ash,4
2026-07-19T22:22:47.287000+00:00,shan,gentle,jinsye,5,jib,kaif,akil,2
2026-07-19T22:22:47.838000+00:00,shan,gentle,jinsye,5,jib,kaif,akil,3
2026-07-19T22:35:26.041000+00:00,jib,kaif,akil,5,shan,gentle,ash,4
2026-07-19T22:35:35.360000+00:00,jib,kaif,jinsye,3,shan,gentle,ash,5
2026-07-19T22:46:38.543000+00:00,jib,gentle,ash,5,shan,jinsye,anon,3
2026-07-19T22:46:42.132000+00:00,jib,gentle,ash,4,shan,jinsye,anon,5
2026-07-19T22:55:41.399000+00:00,jib,anon,shan,4,gentle,jinsye,ash,5
2026-07-19T23:05:15.874000+00:00,jib,anon,shan,4,gentle,jinsye,ash,5
2026-07-19T23:18:37.251000+00:00,jib,gentle,ash,5,shan,wraith,anon,3
2026-07-19T23:18:37.726000+00:00,jib,gentle,ash,5,shan,wraith,anon,1
2026-07-19T23:41:06.902000+00:00,jib,gentle,ash,5,shan,wraith,anon,1
2026-07-19T23:42:31.847000+00:00,gentle,anon,ash,5,jib,wraith,shan,3
2026-07-19T23:42:37.522000+00:00,gentle,anon,ash,5,jib,wraith,shan,3
2026-07-19T23:42:50.124000+00:00,gentle,anon,ash,1,jib,wraith,shan,5
2026-07-19T23:42:51.334000+00:00,gentle,anon,ash,2,jib,wraith,shan,5
2026-07-25T01:09:55.273000+00:00,gentle,anon,akil,5,kami,danny,ash,1
2026-07-25T01:15:29.485000+00:00,gentle,anon,akil,5,kami,danny,ash,3
2026-07-25T01:28:02.927000+00:00,gentle,shan,ash,5,kami,danny,akil,4
2026-07-25T01:28:03.453000+00:00,gentle,shan,ash,4,kami,danny,akil,5
2026-07-25T01:37:59.877000+00:00,shan,gentle,ash,5,kami,danny,anon,3
2026-07-25T01:38:00.787000+00:00,shan,gentle,ash,5,kami,danny,anon,4
2026-07-25T01:47:53.058000+00:00,gentle,danny,ash,5,shan,anon,kami,2
2026-07-25T01:47:53.498000+00:00,gentle,danny,ash,5,shan,anon,kami,3
2026-07-25T20:32:14.016000+00:00,ash,,,3,pike,kami,,5
2026-07-26T07:31:15.828000+00:00,rob,kami,,5,shan,obito,ash,1
2026-07-26T07:35:16.960000+00:00,rob,obito,ash,4,kami,shan,,5
2026-07-26T07:39:32.185000+00:00,rob,obito,ash,5,kami,shan,,2
2026-07-26T07:53:04.100000+00:00,kami,rob,ash,5,shan,obito,,2
2026-07-26T07:53:04.784000+00:00,kami,rob,ash,5,shan,obito,,2
2026-07-26T07:53:05.688000+00:00,kami,rob,ash,5,shan,obito,,0
2026-07-26T08:00:16.185000+00:00,rxob,shan,ash,5,obito,kami,mebo,0
2026-07-26T08:02:40.403000+00:00,kami,rob,obito,5,ash,shan,mebo,1
2026-07-26T08:06:34.693000+00:00,kami,rob,obito,3,ash,shan,mebo,5
2026-07-26T08:11:55.754000+00:00,kami,rob,obito,4,ash,shan,mebo,5
2026-07-26T08:14:23.496000+00:00,kami,rob,ash,5,shan,obito,mebo,0
2026-07-26T08:19:58.246000+00:00,kami,rob,ash,5,shan,obito,mebo,2
2026-07-26T08:24:42.661000+00:00,kami,rob,ash,5,shan,obito,mebo,2
2026-07-29T22:56:33.068000+00:00,aster,gentle,anon,5,shan,ash,akil,2
2026-07-29T22:56:36.363000+00:00,aster,gentle,anon,3,shan,ash,akil,5
2026-07-31T01:17:56.251000+00:00,jib,anon,ash,4,aster,shan,stella,5
2026-07-31T01:18:01.596000+00:00,jib,anon,ash,3,shan,aster,stella,5
2026-07-31T01:33:52.757000+00:00,aster,anon,stella,5,jib,ash,nae,1
2026-07-31T01:33:58.502000+00:00,aster,anon,stella,2,shan,ash,nae,5
2026-07-31T01:37:36.447000+00:00,aster,anon,stella,5,jib,ash,nae,1
2026-07-31T01:50:44.565000+00:00,jib,aster,stella,3,shan,anon,ash,5
2026-07-31T01:50:50.023000+00:00,aster,jib,nae,5,shan,anon,ash,4
2026-07-31T01:54:15.764000+00:00,aster,jib,nae,5,shan,anon,ash,3
