timestamp,GK,team1_name2,team1_name3,score1,GK.1,S1,S2,score2
2026-05-10T12:05:28.422000+00:00,shan,wraith,hawk,4,gentle,popop,nae,5
2026-05-10T12:05:34.202000+00:00,shan,wraith,hawk,4,gentle,popop,sorbetes,5
2026-05-10T12:12:09.411000+00:00,shan,wraith,hawk,5,gentle,popop,sorbetes,4
2026-05-10T12:18:25.615000+00:00,kami,shan,stella,1,gentle,wraith,sorb,5
2026-05-10T12:24:23.526000+00:00,shan,popop,stella,4,kami,gentle,wraith,5
2026-05-10T12:30:18.940000+00:00,shan,popop,stella,5,kami,gentle,wraith,4
2026-05-10T12:35:42.411000+00:00,kami,popop,hawk,2,gentle,wraith,sorb,5
2026-05-10T12:40:43.206000+00:00,kami,popop,hawk,3,gentle,wraith,sorb,5
2026-05-10T12:45:59.755000+00:00,shan,hawk,stella,4,gentle,wraith,stella,5
2026-05-10T12:48:25.773000+00:00,shan,hawk,stella,2,gentle,wraith,stella,5
2026-05-18T03:04:06.583000+00:00,jib,shan,akil,2,aster,kaif,jinsye,5
2026-05-18T03:04:07.444000+00:00,jib,shan,akil,2,aster,kaif,jinsye,5
2026-05-18T03:04:23.581000+00:00,jib,kaif,akil,4,shan,jinsye,aster,5
2026-05-19T13:27:25.211000+00:00,gentle,popop,sorbetes,2,shan,hawk,nae,5
2026-05-19T13:33:13.909000+00:00,gentle,popop,sorbetes,5,shan,hawk,nae,2
2026-05-19T13:44:53.933000+00:00,gentle,popo,sorb,3,wraith,shan,nae,5
2026-05-19T13:44:56.542000+00:00,gentle,popo,sorb,5,wraith,shan,nae,2
2026-05-20T18:00:48.240000+00:00,popop,rob,ash,2,shan,jinsye,nae,5
2026-05-20T18:00:57.347000+00:00,jib,popop,ash,2,shan,jinsye,nae,5
2026-05-20T18:11:23.705000+00:00,jib,popop,ash,5,shan,anon,nae,4
2026-05-20T18:11:24.422000+00:00,jib,popop,ash,5,shan,anon,nae,1
2026-05-20T18:23:19.053000+00:00,jib,jinsye,anon,1,shan,pike,ash,5
2026-05-20T18:23:20.921000+00:00,jib,jinsye,anon,5,shan,pike,ash,2
2026-05-20T18:31:01.647000+00:00,pike,anon,jinsye,5,jib,popop,nae,1
2026-05-20T18:34:36.378000+00:00,pike,anon,jinsye,2,jib,popop,nae,5
2026-05-20T18:50:57.970000+00:00,pike,wraith,jinsye,4,shan,popop,nae,5
2026-05-20T18:50:59.029000+00:00,pike,wraith,jinsye,5,shan,popop,nae,2
2026-05-20T18:59:20.439000+00:00,shan,wraith,anon,2,jib,jinsye,pike,5
2026-05-20T18:59:20.774000+00:00,shan,wraith,anon,1,jib,jinsye,pike,5
2026-05-20T19:08:44.440000+00:00,jib,pike,anon,5,shan,popop,nae,1
2026-05-20T19:08:45.784000+00:00,jib,pike,anon,2,shan,popop,nae,5
2026-05-20T19:20:51.813000+00:00,jib,popop,nae,5,pike,wraith,jinsye,3
2026-05-20T19:20:52.220000+00:00,jib,popop,nae,5,pike,wraith,jinsye,3
2026-05-20T19:32:29.605000+00:00,pike,popop,anon,5,jinsye,wraith,shan,4
2026-05-20T19:32:30.659000+00:00,pike,popop,anon,5,jinsye,wraith,shan,3
2026-05-20T19:40:14.952000+00:00,pike,popop,anon,4,gentle,wraith,hawk,5
2026-05-20T19:40:37.762000+00:00,pike,popop,anon,4,gentle,wraith,hawk,5
2026-05-26T02:14:51.065000+00:00,jib,gentle,wraith,5,shan,ella,jinsye,2
2026-05-26T02:14:56.830000+00:00,jib,gentle,wraith,5,jinsye,ella,shan,2
