timestamp,GK,team1_name2,team1_name3,score1,GK.1,S1,S2,score2
2026-09-01T20:31:46.396000+00:00,pike,shan,anon,2,popop,gentle,ash,5
2026-09-01T20:31:46.840000+00:00,pike,shan,anon,2,popop,gentle,ash,5
2026-09-01T20:41:51.770000+00:00,popop,pike,anon,4,shan,gentle,hawk,5
2026-09-01T20:45:18.436000+00:00,popop,pike,anon,1,shan,gentle,hawk,5
2026-09-01T20:49:53.034000+00:00,popop,wraith,hawk,5,pike,gentle,anon,0
2026-09-01T20:58:51.167000+00:00,popop,wraith,anon,5,gentle,pike,obito,3
2026-09-01T21:08:50.094000+00:00,popop,gentle,anon,1,shan,wraith,pike,5
2026-09-01T21:09:01.645000+00:00,popop,gentle,anon,5,pike,wraith,shan,2
2026-09-01T21:20:20.904000+00:00,popop,gentle,hawk,5,pike,wraith,shan,2
2026-09-01T21:20:28.549000+00:00,popop,gentle,hawk,5,shan,pike,wraith,2
2026-09-01T21:23:40.052000+00:00,gentle,hawk,wraith,5,shan,pike,anon,1
2026-09-01T21:27:27.152000+00:00,popop,hawk,wraith,5,shan,pike,anon,0
2026-09-02T17:35:18.763000+00:00,jib,gentle,ash,3,popo,baps,shan,5
2026-09-02T17:41:04.962000+00:00,jib,gentle,ash,3,popo,baps,hawk,5
2026-09-02T17:44:46.419000+00:00,gentle,anon,ash,1,popo,jib,hawk,5
2026-09-02T17:55:36.093000+00:00,jib,anon,nae,5,popop,wraith,hawk,4
2026-09-02T17:55:38.739000+00:00,jib,anon,nae,1,popop,wraith,hawk,5
2026-09-02T17:58:34.545000+00:00,jib,anon,nae,0,popop,wraith,hawk,5
2026-09-02T18:07:39.853000+00:00,nae,anon,jib,0,hawk,popo,wraith,5
2026-09-02T18:14:39.193000+00:00,jib,anon,hawk,5,shan,wraith,nae,2
2026-09-02T18:19:39.994000+00:00,jib,anon,hawk,1,shan,wraith,nae,5
2026-09-02T18:31:54.582000+00:00,jib,anon,hawk,5,popop,nae,shan,2
2026-09-02T18:31:55.683000+00:00,jib,anon,hawk,5,popop,nae,shan,3
2026-09-02T18:48:38.378000+00:00,jib,popo,nae,4,shan,anon,hawk,5
2026-09-02T18:48:39.755000+00:00,jib,popo,nae,5,shan,anon,hawk,4
2026-09-04T04:57:46.957000+00:00,nae,kami,shan,1,jib,popop,ash,5
2026-09-04T04:57:47.418000+00:00,nae,kami,shan,1,jib,popop,ash,5
2026-09-04T04:57:54.822000+00:00,shan,kami,nae,5,jib,popop,ash,1
2026-09-04T04:57:55.805000+00:00,shan,kami,nae,5,jib,popop,ash,4
2026-09-04T05:18:47.051000+00:00,kami,shan,nae,4,jib,popop,ash,5
2026-09-04T05:18:48.320000+00:00,kami,shan,nae,5,jib,popop,ash,1
2026-09-04T05:55:04.166000+00:00,jib,kami,nae,5,shan,popop,obito,3
2026-09-04T05:55:04.976000+00:00,jib,kami,nae,5,shan,popop,obito,2
2026-09-04T05:55:13.502000+00:00,jib,kami,ash,5,shan,popop,obito,2
2026-09-04T05:55:14.278000+00:00,jib,kami,ash,5,shan,popop,obito,1
2026-09-04T08:13:48.725000+00:00,neptune,,,9,shan,,,7
2026-09-05T06:08:56.416000+00:00,shan,anon,nae,5,popop,danny,mebo,4
2026-09-05T06:08:56.806000+00:00,shan,anon,nae,5,popop,danny,mebo,4
2026-09-05T06:22:18.839000+00:00,popop,nae,anon,5,shan,danny,mebo,1
2026-09-05T06:22:19.747000+00:00,popop,nae,anon,5,shan,danny,mebo,4
2026-09-05T06:25:27.034000+00:00,popop,nae,anon,5,shan,danny,mebo,0
2026-09-05T06:30:40.155000+00:00,popop,nae,anon,1,shan,danny,mebo,5
2026-09-05T06:37:08.600000+00:00,popop,anon,mebo,2,nae,danny,shan,5
2026-09-05T06:37:09.017000+00:00,popop,anon,mebo,2,nae,danny,shan,5
2026-09-05T06:41:31.653000+00:00,shan,anon,mebo,5,nae,popop,danny,2
2026-09-05T06:53:05.192000+00:00,kami,anon,mebo,5,nae,popop,danny,4
2026-09-05T06:59:31.679000+00:00,shan,anon,mebo,2,nae,popop,danny,5
2026-09-06T16:52:40.318000+00:00,popop,anon,akil,0,shan,pike,nae,5
2026-09-06T16:52:41.715000+00:00,popop,anon,akil,5,shan,pike,nae,0
2026-09-06T16:52:44.338000+00:00,popop,anon,akil,2,shan,pike,nae,5
2026-09-06T17:07:23.098000+00:00,pike,shan,anon,5,akil,popop,nae,4
2026-09-06T17:07:23.687000+00:00,pike,shan,anon,4,akil,popop,nae,5
2026-09-06T17:17:10.592000+00:00,shan,pike,anon,5,kami,popop,nae,4
2026-09-06T17:17:11.851000+00:00,shan,pike,anon,2,kami,popop,nae,5
2026-09-06T17:19:37.235000+00:00,shan,pike,anon,1,kami,popop,nae,5
2026-09-06T17:29:00.488000+00:00,kami,pike,nae,5,shan,baps,anon,2
2026-09-06T17:29:01.271000+00:00,kami,pike,nae,5,shan,baps,anon,1
2026-09-06T17:40:07.694000+00:00,popop,baps,anon,4,shan,pike,nae,5
2026-09-06T17:40:09.131000+00:00,popop,baps,anon,2,shan,pike,nae,5
2026-09-08T08:43:54.279000+00:00,kami,eri,stella,5,shan,hawk,mebo,1
2026-09-08T08:43:55.707000+00:00,kami,eri,stella,5,shan,hawk,mebo,2
2026-09-08T08:43:56.252000+00:00,kami,eri,stella,5,shan,hawk,mebo,1
2026-09-08T08:43:56.678000+00:00,kami,eri,stella,5,shan,hawk,mebo,1
2026-09-08T08:44:12.127000+00:00,kami,hawk,stella,3,shan,eri,mebo,5
2026-09-08T09:03:00.135000+00:00,kami,hawk,nae,5,shan,eri,mebo,2
2026-09-08T09:03:01.135000+00:00,kami,hawk,nae,3,shan,eri,mebo,5
